,Game,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
51,52,37.2391025641,8.11538461538,19.0769230769,0.425403225806,2.73076923077,7.88461538462,0.346341463415,0.496975806452,8.69230769231,9.96153846154,0.872586872587,6.28846153846,7.07692307692,27.6538461538,0.589382910355,35.1865384615,16.0903846154,32.6192307692,113.480769231,109.230769231
52,53,37.2072327044,8.09433962264,19.0566037736,0.424752475248,2.75471698113,7.90566037736,0.348448687351,0.49702970297,8.81132075472,10.1132075472,0.871268656716,6.32075471698,7.0,27.7547169811,0.590364733834,35.0150943396,16.3113207547,32.8113207547,113.169811321,108.886792453
53,54,37.2604938272,8.12962962963,19.0925925926,0.425800193986,2.81481481481,7.94444444444,0.354312354312,0.499515033948,8.85185185185,10.1666666667,0.870673952641,6.2962962963,6.96296296296,27.9259259259,0.592506443704,34.8092592593,16.0759259259,32.7407407407,113.740740741,109.092592593
54,55,37.3418181818,8.16363636364,19.1090909091,0.427212178877,2.81818181818,7.94545454545,0.354691075515,0.500951474786,8.89090909091,10.2363636364,0.868561278863,6.34545454545,7.03636363636,28.0363636364,0.593661451275,35.0781818182,16.2090909091,32.7836363636,113.745454545,109.163636364
55,56,37.2714285714,8.125,19.0535714286,0.426429240862,2.78571428571,7.96428571429,0.349775784753,0.499531396439,8.98214285714,10.3571428571,0.86724137931,6.41071428571,7.03571428571,28.0178571429,0.593329299652,35.0857142857,16.0589285714,32.7321428571,114.0,108.785714286
56,57,37.3888888889,8.26315789474,19.2456140351,0.42935278031,2.77192982456,7.94736842105,0.348785871965,0.501367365542,8.9649122807,10.350877193,0.866101694915,6.38596491228,6.98245614035,28.2631578947,0.593763821318,34.9771929825,16.0,32.8578947368,114.0,108.929824561
57,58,37.5445402299,8.39655172414,19.3620689655,0.433659839715,2.79310344828,7.96551724138,0.350649350649,0.505788067676,8.98275862069,10.3965517241,0.864013266998,6.36206896552,7.0,28.5689655172,0.596764434712,34.8931034483,15.9586206897,32.8689655172,114.379310345,108.913793103
58,59,37.6093220339,8.42372881356,19.4576271186,0.432926829268,2.79661016949,7.96610169492,0.351063829787,0.504790940767,8.89830508475,10.2881355932,0.864909390445,6.32203389831,6.91525423729,28.5423728814,0.595019362863,34.4694915254,15.9542372881,32.8915254237,113.949152542,108.983050847
59,60,37.6486111111,8.41666666667,19.4,0.433848797251,2.8,7.95,0.352201257862,0.506013745704,8.86666666667,10.2333333333,0.866449511401,6.31666666667,6.95,28.5,0.596167791599,34.4683333333,15.9766666667,32.7333333333,114.216666667,109.216666667
60,61,37.6825136612,8.45901639344,19.4754098361,0.434343434343,2.77049180328,7.96721311475,0.347736625514,0.505471380471,8.98360655738,10.3606557377,0.867088607595,6.40983606557,6.95081967213,28.6721311475,0.596488595438,34.5147540984,16.0426229508,32.862295082,114.098360656,108.786885246
61,62,37.7166666667,8.48387096774,19.5806451613,0.433278418451,2.79032258065,8.03225806452,0.347389558233,0.504530477759,9.03225806452,10.4193548387,0.866873065015,6.38709677419,6.96774193548,28.7903225806,0.595698953439,34.6370967742,16.1370967742,33.0096774194,113.806451613,108.838709677
62,63,37.7955026455,8.52380952381,19.5873015873,0.435170178282,2.79365079365,8.01587301587,0.348514851485,0.506482982172,9.12698412698,10.5555555556,0.864661654135,6.36507936508,7.07936507937,28.9682539683,0.597733525481,35.0619047619,15.9349206349,32.9888888889,114.444444444,108.952380952
63,64,37.8494791667,8.515625,19.6875,0.43253968254,2.75,8.015625,0.343079922027,0.502380952381,9.1875,10.59375,0.867256637168,6.40625,7.09375,28.96875,0.594871399969,35.0203125,15.8609375,33.028125,114.390625,108.96875
64,65,37.8241025641,8.52307692308,19.6769230769,0.43315089914,2.72307692308,7.98461538462,0.341040462428,0.502345582486,9.24615384615,10.6615384615,0.867243867244,6.35384615385,7.04615384615,29.0153846154,0.595358351432,34.7723076923,15.9092307692,33.0753846154,114.353846154,108.876923077
65,66,37.7616161616,8.42424242424,19.5909090909,0.430007733952,2.68181818182,7.93939393939,0.337786259542,0.49845320959,9.22727272727,10.6363636364,0.867521367521,6.30303030303,7.09090909091,28.7575757576,0.592428896047,34.7833333333,15.7484848485,32.9318181818,114.106060606,109.212121212
66,67,37.5741293532,8.34328358209,19.4179104478,0.429669485012,2.67164179104,7.89552238806,0.338374291115,0.498462720984,9.19402985075,10.5970149254,0.867605633803,6.31343283582,7.10447761194,28.552238806,0.592847403,34.828358209,15.9656716418,32.8567164179,114.089552239,108.686567164
67,68,37.6720588235,8.38235294118,19.4705882353,0.430513595166,2.70588235294,7.92647058824,0.341372912801,0.5,9.14705882353,10.5588235294,0.866295264624,6.29411764706,7.11764705882,28.6176470588,0.593321625445,34.7705882353,16.0720588235,32.8852941176,113.985294118,109.044117647
68,69,37.6835748792,8.42028985507,19.4782608696,0.432291666667,2.71014492754,7.92753623188,0.341864716636,0.501860119048,9.07246376812,10.4637681159,0.86703601108,6.27536231884,7.21739130435,28.6231884058,0.594278080015,35.0057971014,16.2637681159,32.9231884058,113.971014493,109.130434783
69,70,37.670952381,8.4,19.4428571429,0.432035268185,2.71428571429,7.88571428571,0.344202898551,0.501836884644,9.05714285714,10.4285714286,0.868493150685,6.27142857143,7.22857142857,28.5714285714,0.594459636191,35.13,16.2142857143,32.8357142857,114.157142857,109.185714286
70,71,37.7091549296,8.38028169014,19.4084507042,0.431785195936,2.70422535211,7.88732394366,0.342857142857,0.50145137881,9.04225352113,10.3943661972,0.869918699187,6.28169014085,7.35211267606,28.5070422535,0.594343168577,35.4802816901,16.261971831,32.7464788732,114.267605634,109.126760563
71,72,37.7666666667,8.375,19.4027777778,0.431639226915,2.69444444444,7.86111111111,0.342756183746,0.50107372942,9.02777777778,10.375,0.870147255689,6.29166666667,7.38888888889,28.4722222222,0.593968754346,35.6555555556,16.2847222222,32.7472222222,114.138888889,108.722222222
72,73,37.8237442922,8.41095890411,19.4383561644,0.432699083862,2.69863013699,7.84931506849,0.343804537522,0.502114164905,9.0,10.3698630137,0.867899603699,6.34246575342,7.46575342466,28.5205479452,0.594150952011,35.8602739726,16.3493150685,32.7643835616,114.150684932,108.712328767
73,74,37.9009009009,8.44594594595,19.472972973,0.433726578765,2.71621621622,7.89189189189,0.344178082192,0.50346981263,8.98648648649,10.3783783784,0.865885416667,6.36486486486,7.47297297297,28.5945945946,0.594742877701,35.8364864865,16.3405405405,32.75,114.189189189,108.716216216
74,75,37.9866666667,8.44,19.4266666667,0.43445435827,2.72,7.89333333333,0.344594594595,0.504461221688,8.97333333333,10.3733333333,0.865038560411,6.36,7.48,28.5733333333,0.595502745482,35.752,16.3413333333,32.6293333333,114.386666667,108.733333333
75,76,38.0438596491,8.43421052632,19.4342105263,0.433987813135,2.71052631579,7.88157894737,0.343906510851,0.503723764387,8.93421052632,10.3421052632,0.863867684478,6.32894736842,7.48684210526,28.5131578947,0.594402141713,35.725,16.3171052632,32.5776315789,114.223684211,108.763157895
76,77,38.1034632035,8.48051948052,19.5064935065,0.434753661784,2.74025974026,7.92207792208,0.345901639344,0.50499334221,8.97402597403,10.3896103896,0.86375,6.2987012987,7.50649350649,28.6753246753,0.595469255663,35.7402597403,16.2844155844,32.587012987,114.441558442,108.831168831
77,78,38.1784188034,8.47435897436,19.5384615385,0.433727034121,2.75641025641,7.94871794872,0.346774193548,0.504265091864,8.9358974359,10.3461538462,0.863692688971,6.28205128205,7.46153846154,28.641025641,0.594439832258,35.5038461538,16.3230769231,32.6,114.179487179,108.782051282
78,79,38.2445147679,8.49367088608,19.4683544304,0.436280884265,2.78481012658,7.92405063291,0.351437699681,0.507802340702,8.88607594937,10.3037974684,0.862407862408,6.22784810127,7.45569620253,28.6582278481,0.59699603409,35.3708860759,16.3050632911,32.4569620253,114.64556962,109.063291139
79,80,38.2835416667,8.5625,19.6125,0.436583811345,2.825,8.0,0.353125,0.508604206501,8.85,10.275,0.861313868613,6.2,7.525,28.8,0.596680962148,35.4875,16.23125,32.52125,114.8,109.025
80,81,38.2018518519,8.6049382716,19.6296296296,0.438364779874,2.85185185185,7.98765432099,0.357032457496,0.511006289308,8.8024691358,10.2345679012,0.860072376357,6.13580246914,7.50617283951,28.8641975309,0.59802737932,35.4259259259,16.1679012346,32.562962963,115.0,109.086419753
81,82,38.1050813008,8.65853658537,19.7195121951,0.439084724799,2.87804878049,8.01219512195,0.359208523592,0.512059369202,8.78048780488,10.2073170732,0.860215053763,6.10975609756,7.46341463415,28.9756097561,0.598404255319,35.2865853659,16.0097560976,32.6768292683,115.182926829,108.87804878
